ID,distanza totale percorsa (Km),tempo totale di percorrenza(s),tempo totale di attesa(s),velocità media(Km/h),emissioni totali di CO2(Kg),emissioni totali di CO(Kg),emissioni totali di HC(Kg),emissioni totali di PMx(Kg),emissioni totali di NOx(Kg),consumo totale di carburante(Kg),emissione totale di rumore(dBA)
Semaforo a ciclo fisso 1,,,,,,,,,,,
vehicle489,0.26646920055178325,16.09999999999991,0.0,0.7305773785798999,0.04190794232879196,9.816704302131285e-06,4.3023842976197e-06,1.4239501269147823e-05,0.00025142755433097384,0.01346873506977189,10719.687252065296
vehicle689,0.2661568324929496,16.799999999999955,0.0,0.7227301075883866,0.07480022072158228,0.00013734798427979548,2.4866502040255012e-05,4.9011247396299826e-05,0.00037974485740055095,0.024039314424831502,11150.059579066656
vehicle517,0.266297060111861,34.59999999999991,10.4,0.7083856873411172,0.07848405379229023,2.2291599600994175e-05,8.0478265959066e-06,2.0776363707446358e-05,0.00040950495568186246,0.025222783845962396,15369.259508232095
vehicle443,0.26756220696201893,22.299999999999955,0.0,0.7116633127012576,0.06608828001788658,0.0003925467649809867,2.616720272154952e-06,6.237418647255735e-06,2.243916504877306e-05,0.021424889688260035,14411.080349076241
vehicle391,0.26641283527558324,18.0,0.0,0.705695578251839,0.03784632826746196,0.0001467145534640736,1.4195261637177368e-06,5.362993234912993e-06,1.0077532951959161e-05,0.0122693481226082,11779.190704011366
vehicle483,0.265587553852043,17.40000000000009,0.0,0.6974989959942527,0.06261567827548206,2.96348430338628e-05,6.77215196609504e-06,2.6661212644200924e-05,0.0002474338137720049,0.02012264272928275,11566.464671887594
vehicle534,0.266012596099326,16.299999999999955,0.0,0.6948840676302555,0.05177489351890088,2.4783393992509943e-05,5.851362706766979e-06,2.2868887804800947e-05,0.00021099328452526387,0.01663870489439822,10857.72977572087
vehicle683,0.2649630004467519,15.5,0.0,0.6873597745740728,0.05647566706995481,2.6538094919487857e-05,7.78574605536879e-06,6.561410026801439e-06,0.0001465853164442565,0.01815108926544376,10431.838690970942
vehicle409,0.2663022078701623,39.59999999999991,14.9,0.6726779328070377,0.10210485179890659,0.000574738701099546,6.78463463687861e-05,8.075104060049922e-06,0.000161273064467473,0.03310252752753738,24104.140832409536
vehicle594,0.2660446405660604,29.5,0.0,0.6714130740369025,0.07920041235057125,0.0009034469433674107,2.064650779028911e-05,9.370671756831572e-06,4.6928956919623614e-05,0.02567744921749139,18128.098551485265
vehicle465,0.26647395686097963,21.59999999999991,0.0,0.6710521342615856,0.054527608612770735,0.0004206849332261053,3.5116906972681014e-05,6.684737792489988e-06,9.230380571738929e-05,0.01767806336335447,13863.392425707843
vehicle400,0.26784125828431155,18.799999999999955,0.0,0.6704009904300827,0.05057831521123064,0.00020617229362079108,1.880831876783572e-06,5.575433346605594e-06,1.3541131529119766e-05,0.016396334839003074,12383.330129712238
vehicle487,0.266180953166566,18.0,0.0,0.6628812052109654,0.046151760977976575,2.7587303116767335e-05,6.662702283175783e-06,2.241166710966626e-05,0.00018402025022162474,0.014831113521636446,11773.833877263962
vehicle424,0.26711020417795706,17.40000000000009,0.0,0.6606220281078946,0.03694746285802469,0.0004057329635635228,2.3898649671492513e-06,5.665703375749444e-06,5.1253266819911586e-06,0.011979517820364842,11450.773265415994
vehicle657,0.2669454875278122,16.799999999999955,0.0,0.6558215151990071,0.057181617717868796,1.9423166699872646e-05,5.707179156271884e-06,4.466101840245484e-06,0.00014513397395794444,0.0183770650560357,11203.743093180203
vehicle669,0.26567752484409024,32.299999999999955,9.9,0.6413745932508458,0.09097740374751812,1.1687323607272083e-05,6.696814057848653e-06,2.2725314104111045e-05,0.0006805060651134138,0.029234942326906786,19984.95679483422
vehicle692,0.26495879676296674,21.0,0.0,0.6396597330729319,0.0729354019282634,9.510541353668272e-06,6.6309993058100795e-06,2.2915702538265874e-05,0.0005838304200845971,0.023443760695379706,13635.94183500241
vehicle575,0.26757164197788735,17.600000000000136,0.0,0.6425550222906412,0.04280986178068237,7.891310345052609e-06,2.2568704528440953e-06,6.253131544377498e-06,0.00018317890402263191,0.013759274053866535,11552.987526853594
vehicle522,0.2666438192189865,34.299999999999955,10.2,0.6286784438635066,0.08291246011802578,1.697995214794723e-05,3.361768982142715e-06,5.950771380209853e-06,0.00046839377606899536,0.02664501356461223,21042.074876141513
vehicle524,0.26459636346264803,28.799999999999955,0.0,0.6220041394284919,0.08750922880894131,1.5666178681934522e-05,2.4425159052366922e-06,4.77888686618524e-06,0.0004481791916861902,0.028122895756291448,18034.67880354163
